[".map","stratis",8192,0]
[".class","Land_VR_Shape_01_cube_1m_F","\A3\Structures_F_Mark\VR\Shapes\VR_Shape_01_cube_1m_F.p3d",[[-0.50000000000000000000,-0.50000000000000000000,-0.50000000000000000000],[0.50000000000000000000,0.50000000000000000000,0.50000000000000000000],0.86602538824081420898],[0.00000000000000000000,0.00000000000000000000,0.50000000000000000000],"a3\structures_f_mark\vr\shapes\vr_shape_01_cube_1m_f.p3d",1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3783.47583007812500000000,3718.97070312500000000000,178.62596130371093750000],[0.01749552041292190552,-0.04245435073971748352,0.99894529581069946289],[0.70699858665466308594,0.70699441432952880859,0.01766431145370006561],[0.01747956499457359314,-0.04245472699403762817,0.99894553422927856445],1.00000011920928955078]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3776.58374023437500000000,3718.95092773437500000000,178.44268798828125000000],[-0.08963724225759506226,-0.14774087071418762207,0.98495584726333618164],[0.70426034927368164063,-0.70868599414825439453,-0.04220892861485481262],[-0.08865398913621902466,-0.14775414764881134033,0.98504269123077392578],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3774.49438476562500000000,3696.72851562500000000000,175.36134338378906250000],[-0.13135142624378204346,-0.02230162173509597778,0.99108499288558959961],[0.00000000000000000000,0.99974691867828369141,0.02249653451144695282],[-0.13131901621818542480,-0.02230238169431686401,0.99108922481536865234],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3769.83422851562500000000,3691.88110351562500000000,174.71456909179687500000],[-0.11914381384849548340,0.00743974233046174049,0.99284911155700683594],[0.99287712574005126953,0.00089271488832309842,0.11914049088954925537],[-0.11914087831974029541,0.00744606787338852882,0.99284946918487548828],1.00000011920928955078]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3769.79077148437500000000,3701.67919921875000000000,174.92622375488281250000],[-0.12159241735935211182,-0.05450922995805740356,0.99108237028121948242],[-0.99258011579513549805,0.00667746597900986671,-0.12140891700983047485],[-0.12141164392232894897,-0.05451104417443275452,0.99110436439514160156],1.00000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3764.67846679687500000000,3696.73437500000000000000,174.14794921875000000000],[-0.11669788509607315063,-0.01986088417470455170,0.99296885728836059570],[-0.00000008682545882266,-0.99980002641677856445,-0.01999752782285213470],[-0.11667446792125701904,-0.01985988579690456390,0.99297159910202026367],0.99999994039535522461]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3773.15014648437500000000,3693.36254882812500000000,175.13737487792968750000],[-0.12891636788845062256,-0.00991691555827856064,0.99160587787628173828],[0.70120632648468017578,0.70615988969802856445,0.09822440892457962036],[-0.12890993058681488037,-0.00991440284997224808,0.99160671234130859375],1.00000011920928955078]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3766.25805664062500000000,3693.34277343750000000000,174.29969787597656250000],[-0.11424861848354339600,-0.00495864916592836380,0.99343979358673095703],[0.70247679948806762695,-0.70750123262405395508,0.07725556194782257080],[-0.11424724757671356201,-0.00496826041489839554,0.99343985319137573242],1.00000011920928955078]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3782.12304687500000000000,3648.55688476562500000000,180.08314514160156250000],[-0.02623442560434341431,0.04302655905485153198,0.74830502271652221680],[0.00000000000000000000,0.74876326322555541992,-0.04305291175842285156],[-0.03492081910371780396,0.05736910179257392883,0.99774205684661865234],0.75000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3777.46289062500000000000,3643.70947265625000000000,180.07579040527343750000],[-0.03745296224951744080,0.00561877992004156113,0.74904316663742065430],[0.74906432628631591797,0.00028090437990613282,0.03745191544294357300],[-0.04993545264005661011,0.00749012734740972519,0.99872428178787231445],0.75000005960464477539]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3777.41943359375000000000,3653.50756835937500000000,179.51625061035156250000],[-0.04864600300788879395,0.06338654458522796631,0.74573177099227905273],[-0.74842071533203125000,-0.00412000110372900963,-0.04847121611237525940],[-0.06462968885898590088,0.08451662957668304443,0.99432396888732910156],0.75000005960464477539]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3772.30712890625000000000,3648.56274414062500000000,179.51808166503906250000],[-0.05423416197299957275,0.06150181591510772705,0.74550402164459228516],[-0.00000006539543306872,-0.74746078252792358398,0.06166324764490127563],[-0.07206878066062927246,0.08200355619192123413,0.99402290582656860352],0.75000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3780.77880859375000000000,3645.19091796875000000000,180.17817687988281250000],[-0.02436289004981517792,0.02996055968105792999,0.74900525808334350586],[0.53005027770996093750,0.53059494495391845703,-0.00398310367017984390],[-0.03245814144611358643,0.03994789347052574158,0.99867451190948486328],0.75000005960464477539]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3773.88671875000000000000,3645.17114257812500000000,179.79833984375000000000],[-0.05423108115792274475,0.03176558762788772583,0.74736201763153076172],[0.52894192934036254883,-0.52822333574295043945,0.06083319336175918579],[-0.07224366068840026855,0.04235405847430229187,0.99648737907409667969],0.75000005960464477539]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3802.60986328125000000000,3658.19702148437500000000,182.23629760742187500000],[0.00000000000000000000,0.00000000000000000000,2.50000000000000000000],[0.00000000000000000000,2.50000000000000000000,0.00000000000000000000],[-0.13362081348896026611,-0.04948905110359191895,0.98979610204696655273],2.50000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3797.94970703125000000000,3653.34960937500000000000,181.52105712890625000000],[0.00000000000000000000,0.00000000000000000000,2.50000000000000000000],[2.50000000000000000000,-0.00000010927848137499,0.00000000000000000000],[-0.06979758292436599731,-0.02991216257214546204,0.99711263179779052734],2.50000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3797.90625000000000000000,3663.14770507812500000000,181.72557067871093750000],[0.00000000000000000000,0.00000000000000000000,2.50000000000000000000],[-2.50000000000000000000,0.00000002981220248444,0.00000000000000000000],[-0.13620492815971374512,-0.01237951777875423431,0.99060326814651489258],2.50000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3792.79394531250000000000,3658.20288085937500000000,181.22016906738281250000],[0.00000000000000000000,0.00000000000000000000,2.50000000000000000000],[-0.00000021855696274997,-2.50000000000000000000,0.00000000000000000000],[-0.06733878701925277710,0.01247141417115926743,0.99765223264694213867],2.50000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3801.26562500000000000000,3654.83105468750000000000,181.90509033203125000000],[0.00000000000000000000,0.00000000000000000000,2.50000000000000000000],[1.76776695251464843750,1.76776695251464843750,0.00000000000000000000],[-0.12383333593606948853,-0.05696227774024009705,0.99066668748855590820],2.50000000000000000000]
[".add","Land_VR_Shape_01_cube_1m_F",[],[3794.37353515625000000000,3654.81127929687500000000,181.31866455078125000000],[0.00000000000000000000,0.00000000000000000000,2.50000000000000000000],[1.76776695251464843750,-1.76776695251464843750,0.00000000000000000000],[-0.06731387972831726074,-0.02991727925837039948,0.99728322029113769531],2.50000000000000000000]
[".dhmap",[]]
